sutta_uid,language,abstract,url,priority
dn1,de,German translation of DN 1 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d01.htm,2
dn2,en,English translation of DN 2 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.02.0.than.html,3
dn2,en,English translation of DN 2 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/02-samannaphala-e.html,9
dn2,fr,French translation of DN 2 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/digha/dn02.html,1
dn2,de,German translation of DN 2 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d02.htm,2
dn3,en,English translation of DN 3 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/03-ambattha-e.html,9
dn3,de,German translation of DN 3 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d03.htm,2
dn4,en,English translation of DN 4 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/04-sonadanda-e.html,9
dn4,de,German translation of DN 4 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d04.htm,2
dn5,en,English translation of DN 5 from BPS. Translator T W Rhys Davids. With introduction and notes.,http://www.bps.lk/olib/wh/wh120-u.html,1
dn5,en,English translation of DN 5 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/05-kutadanta-e.html,9
dn5,de,German translation of DN 5 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d05.htm,2
dn6,en,English translation of DN 6 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/06-mahali-e.html,9
dn6,de,German translation of DN 6 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d06.htm,2
dn7,en,English translation of DN 7 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/07-jaliya-e.html,9
dn7,de,German translation of DN 7 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d07.htm,2
dn8,en,English translation of DN 8 from Metta Net. Translator T W Rhys Davids.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha1/08-kassapasihanada-e.html,9
