uid,iso_code,name,isroot,priority
bo,bo,Tibetan,1,5
ca,ca,Català,,9
cz,cz,Čeština,,8
de,de,Deutsch,,5
en,en,English,,2
es,es,Español,,4
fr,fr,Français,,4
hi,hi,हिन्दी,,3
hu,hu,Magyar,,9
id,id,Bahasa Indonesia,,4
it,it,Italiano,,9
ko,ko,한국어/조선말,,7
nl,nl,Nederlands,,4
no,no,Norsk,,4
oth,ot,Other,1,9
pi,pi,Pāli,1,3
pl,pl,Polszczyzna,,9
pt,pt,Português,,9
ru,ru,ру́сский язы́к,,9
skt,sa,Sanskrit,1,4
si,si,සිංහල,,2
sv,sv,Svenska,,5
th,th,ไทย,,4
ug,ug,Uighur,,9
vn,vn,Tiếng Việt,,8
lzh,lzh,Chinese,1,1
zh,zh,Modern Chinese,1,3
my,my,မြန်မာဘာသာ,,4
gr,gr,Gandhari,0,5

