#Note: new numbering still has to be added!. Also search for NUMBER. 
#&=retelling of the same story

pi-tv-bu-vb-intro,~an8.11,pi-tv-bu-vb-pj1#3-#39
mn35#5,~sn22.15,~kv23.5#19,~kv2.8#216,~kv1.1#367
an1.11-20#17.1,pe3#27
an1.170-187#170.1,mil6.1.2#13,mil6.4.2#62
an1.188-197#3,mil5.4.1#1
an1.268-277#271.1,ne21#413
an1.306-315#314.1,an10.104#1,kv14.8#65
an1.316-332#328.1,mil5.1.10#3
an1.41-50#48.1,kv2.7#198
an10.106#1,dn34#224
an10.113#1,an10.171#1
an10.117#1,an10.169#1
an10.134#1,an10.178#1
an10.15#1,an4.34#1,an5.32#3-#6,iti90#2,mil5.5.3#8,ne37#511,sn45.139#1
an10.15#8,sn45.146-148#1
an10.15#9,sn45.146-148#2
an10.17#1,an4.12#1,iti111#2,dn33#329,dn34#197
an10.176#5,mn41#5,mn41#17
an10.176#25,mn38#96
an10.176#1,dn16#171,ud8.5#1
an10.177#2,mil6.3.4#1
an10.19#1,dn33#342,dn34#213,mnd1#81
an10.2#1,an11.2#1,ne37#165
an10.31#2,pi-tv-pvr1.1#61,pi-tv-pvr9#1
an10.21#3,an6.64#1,mn12#9,ps2.9#29,vb16#171
an10.217#1,kv12.2#16
an10.217#1,kv8.9#105
an10.220#1,an2.11-20#16.1
an10.23#6,vb17#31
an10.25#1,an10.29#4,dn33#339,dn34#207
an10.26#2,sn4.25#14
an10.29#6,an8.65#1,dn33#287,dn34#159
an1.394-574#439.1,~an10.29#6,~an8.65#1,dn16#129,mn77#37,an8.119#1
an10.3,an11.3,an5.168,an5.24,an6.50#1,an7.65
an10.31#1,pi-tv-pvr1.1#27
an10.31#1,pi-tv-pvr1.1#3
an10.31#1,pi-tv-pvr2.1#2
an10.33#1,pi-tv-kd14#160,pi-tv-pvr7#135
an10.37#1,pi-tv-kd17#104
an10.38#1,pi-tv-kd17#124
pi-tv-kd17#148,pi-tv-pvr17#201,pi-tv-pvr17#213
an10.39#3,iti18#3,kv13.1#5,kv20.1#11,pi-tv-kd17#145
an10.69#4-#5,mnd10#27
an10.4,an11.4
an10.40#3,iti19#3,pi-tv-kd17#147
an10.44#2,pi-tv-bu-vb-ss13#6,pi-tv-kd19#76,pi-tv-pvr17#87
an10.45,pi-tv-bu-vb-pc83#5-#14,ea46.6
an10.48#1,ne37#489
an10.61#4,an3.95#6
