uid,division_uid,name,acronym,vagga_numbering_ind
sn1,sn,Devatā Saṃyutta,SN 1,
sn2,sn,Devaputta Saṃyutta,SN 2,
sn3,sn,Kosala Saṃyutta,SN 3,
sn4,sn,Māra Saṃyutta,SN 4,
sn5,sn,Bhikkhuṇī Saṃyutta,SN 5,
sn6,sn,Brahmā Saṃyutta,SN 6,
sn7,sn,Brāhmaṇa Saṃyutta,SN 7,
sn8,sn,Vangīsa Thera Saṃyutta,SN 8,
sn9,sn,Vana Saṃyutta,SN 9,
sn10,sn,Yakkha Saṃyutta,SN 10,
sn11,sn,Sakka Saṃyutta,SN 11,
sn12,sn,Nidāna Saṃyutta,SN 12,
sn13,sn,Abhisamaya Saṃyutta,SN 13,
sn14,sn,Dhātu Saṃyutta,SN 14,
sn15,sn,Anamatagga Saṃyutta,SN 15,
sn16,sn,Kassapa Saṃyutta,SN 16,
sn17,sn,Lābhasakkāra Saṃyutta,SN 17,
sn18,sn,Rāhula Saṃyutta,SN 18,
sn19,sn,Lakkhaṇa Saṃyutta,SN 19,
sn20,sn,Opamma Saṃyutta,SN 20,
sn21,sn,Bhikkhu Saṃyutta,SN 21,
sn22,sn,Khandha Saṃyutta,SN 22,
sn23,sn,Rādha Saṃyutta,SN 23,
sn24,sn,Diṭṭhi Saṃyutta,SN 24,
sn25,sn,Okkantika Saṃyutta,SN 25,
sn26,sn,Uppāda Saṃyutta,SN 26,
sn27,sn,Kilesa Saṃyutta,SN 27,
sn28,sn,Sāriputta Saṃyutta,SN 28,
sn29,sn,Nāga Saṃyutta,SN 29,
sn30,sn,Supaṇṇa Saṃyutta,SN 30,
sn31,sn,Gandhabbakāya Saṃyutta,SN 31,
sn32,sn,Valāhaka Saṃyutta,SN 32,
sn33,sn,Vacchagotta Saṃyutta,SN 33,
sn34,sn,Samādhi Saṃyutta,SN 34,
sn35,sn,Saḷāyatana Saṃyutta,SN 35,
sn36,sn,Vedanā Saṃyutta,SN 36,
sn37,sn,Mātugāma Saṃyutta,SN 37,
sn38,sn,Jambukhādaka Saṃyutta,SN 38,
sn39,sn,Sāmaṇḍaka Saṃyutta,SN 39,
sn40,sn,Moggallāna Saṃyutta,SN 40,
sn41,sn,Citta Saṃyutta,SN 41,
sn42,sn,Gāmani Saṃyutta,SN 42,
sn43,sn,Asaṅkhata Saṃyutta,SN 43,
sn44,sn,Avyākata Saṃyutta,SN 44,
sn45,sn,Magga Saṃyutta,SN 45,
sn46,sn,Bojjhaṅga Saṃyutta,SN 46,
sn47,sn,Satipaṭṭhāna Saṃyutta,SN 47,
sn48,sn,Indriya Saṃyutta,SN 48,
sn49,sn,Sammappadhāna Saṃyutta,SN 49,
sn50,sn,Bala Saṃyutta,SN 50,
sn51,sn,Iddhipāda Saṃyutta,SN 51,
sn52,sn,Anuruddha Saṃyutta,SN 52,
