uid,acro,name
an,AN ,
ap,Ap ,
arv,Arv ,
avs,Avs ,
cv,Cv ,
da,DA ,
dhp,Dhp ,
divy,Divy ,
dn,DN ,
dq,D ,
ea,EA ,
gf,Gandh ,
it,It ,
ja,Ja ,
kf,Khot ,
kp,Khp ,
lal,Lal ,
ma,MA ,
mn,MN ,
mv,Mv ,
mvu,Mvu,
patisii,Patis ,
pf,Prak ,
sa,SA ,
sa-2,SA-2 ,
sa-3,SA-3 ,
sbv,Sbv ,
sf,SF ,
sht,SHT ,
sn,SN ,
snp,Snp ,
svbh,Svbh ,
t,T ,
tib,Tib ,
ud,Ud ,
uf,Uigh ,
up,Up ,
uv,UV ,
# Languages ,,
en,En,English
pi,Pi,Pāli
zh,Zh,Chinese
skt,Skt,Sanskrit
gr,Gr,Gāndhārī
bo,Bo,Tibetan
,,,
# Pitaka ,,
ab,Ab,Abhidhamma
su,Su,Suttas
vi,Vi,Vinaya
,,,
# Sects,,
tv,Tv,Theravāda
vb,Vb,Vibhaṅga
pm,Pm,Pātimokkha
pvr,Pvr,Parivāra
sv,Sv,Sarvāstivāda
mu,Mu,Mūlasarvāstivāda
mbt,Mbt,Mahāvyutpatti
mi,Mi,Mahīśāsaka
mg,Mg,Mahāsaṅghika
lo,Lo,Lokuttaravāda
dg,Dg,Dharmaguptaka
ka,Ka,Kāśyapīya
upali,Upali,Upāliparipṛcchā
,,,
# Names ,,
bf,Bf,Bajaur
qizil,Qizil,Qizil
tf,Tf,Turfan
finot,Finot,Finot
,,,
# Vinaya Rule Classes,,
pj,Pj,Pārājika
ss,Ss,Saṅghādisesā
an,An,Aniyatā
np,NP,Nissaggiyā Pācittiyā
pc,Pc,Pācittiyā
pd,Pd,Pāṭidesanīyā
sk,Sk,Sekhiyā
as,As,Adhikaraṇasamathā
,,,
# Misc ,,
bu,Bu,Bhikkhu
bi,Bi,Bhikkhunī

