A,B,C,D,E,F,G,H,I,J
uid,skt-mu-kd,bo-mu-kd,zh-mu-kd,zh-sv-kd,zh-dg-kd,zh-mi-kd,zh-mg-kd,pi-tv-kd,skt-lo-asc
collection,Sanskrit Mūlasarvāstivāda,Tibetan Mūlasarvāstivāda,Chinese Mūlasarvāstivāda,Sarvāstivāda,Dharmaguptaka,Mahīśāsaka,Mahāsaṅghika,Theravāda,Sanskrit Lokuttaravāda
Pabbajja,skt-mu-kd1*,bo-mu-kd1*,zh-mu-kd1*,zh-sv-kd1*,zh-dg-kd1*,zh-mi-kd1*,zh-mg-kd1*,pi-tv-kd1*,
Pabbajja,skt-mu-kd1*,bo-mu-kd1*,zh-mu-kd1*,zh-sv-kd1*,zh-dg-kd1*,zh-mi-kd1*,zh-mg-kd15*,pi-tv-kd1*,
Uposatha,skt-mu-kd2,bo-mu-kd2,zh-mu-kd2,zh-sv-kd2,zh-dg-kd2,zh-mi-kd2,zh-mg-kd7*,pi-tv-kd2,
Vassa,skt-mu-kd4,bo-mu-kd4,zh-mu-kd4,zh-sv-kd4,zh-dg-kd3,zh-mi-kd3,zh-mg-kd8*,pi-tv-kd3,
Pavāraṇā,skt-mu-kd3,bo-mu-kd3,zh-mu-kd3,zh-sv-kd3,zh-dg-kd4,zh-mi-kd4,zh-mg-kd9*,pi-tv-kd4,
Camma,skt-mu-kd5,bo-mu-kd5,zh-mu-kd5,zh-sv-kd5,zh-dg-kd5,zh-mi-kd6,-,pi-tv-kd5,
Bhesajja,skt-mu-kd6*,bo-mu-kd6*,zh-mu-kd6*,zh-sv-kd6*,zh-dg-kd7*,zh-mi-kd7,zh-mg-kd14*,pi-tv-kd6*,
Cīvara,skt-mu-kd7,bo-mu-kd7,zh-mu-kd7,zh-sv-kd7,zh-dg-kd6,zh-mi-kd5,zh-mg-kd11*,pi-tv-kd8,
Kaṭhina,skt-mu-kd8,bo-mu-kd8,zh-mu-kd8,zh-sv-kd8,zh-dg-kd8,zh-mi-kd8,zh-mg-kd10*,pi-tv-kd7,
Kosambaka,skt-mu-kd9,bo-mu-kd9,zh-mu-kd9,zh-sv-kd9,zh-dg-kd9,zh-mi-kd10b,-,pi-tv-kd10,
Campeyya,skt-mu-kd10,bo-mu-kd10,zh-mu-kd10,zh-sv-kd10,zh-dg-kd10,zh-mi-kd10c,zh-mg-kd2*,pi-tv-kd9,
Paṇḍulohitaka,skt-mu-kd11,bo-mu-kd11,zh-mu-kd11,zh-sv-kd11,zh-dg-kd11,zh-mi-kd10d,zh-mg-kd3*,pi-tv-kd11,
Samuccaya,skt-mu-kd12,bo-mu-kd12,zh-mu-kd12,zh-sv-kd12a,zh-dg-kd12,zh-mi-kd10a,zh-mg-kd4*,pi-tv-kd13,
Parivāsa,skt-mu-kd13,bo-mu-kd13,zh-mu-kd13,zh-sv-kd12b,zh-dg-kd13,zh-mi-kd17,zh-mg-kd4*,pi-tv-kd12,
