name,uid,vagga_number,number_in_vagga,volpage
Methunadhamma,pi-tv-bu-vb-pj1,,,
Dinnādāna,pi-tv-bu-vb-pj2,,,
Manussaviggaha,pi-tv-bu-vb-pj3,,,
Uttarimanussadhamma,pi-tv-bu-vb-pj4,,,
Sukkavisaṭṭhi,pi-tv-bu-vb-ss1,,,
Kāyasaṁsagga,pi-tv-bu-vb-ss2,,,
Duṭṭhullavācā,pi-tv-bu-vb-ss3,,,
Attakāmpāricariya,pi-tv-bu-vb-ss4,,,
Sañcaritta,pi-tv-bu-vb-ss5,,,
Kuṭikāra,pi-tv-bu-vb-ss6,,,
Vihārakāra,pi-tv-bu-vb-ss7,,,
Duṭṭhadosa,pi-tv-bu-vb-ss8,,,
Aññabhāgiya,pi-tv-bu-vb-ss9,,,
Saṅghabheda,pi-tv-bu-vb-ss10,,,
Bhedānuvattaka,pi-tv-bu-vb-ss11,,,
Dubbaca,pi-tv-bu-vb-ss12,,,
Kuladūsaka,pi-tv-bu-vb-ss13,,,
Sammukhāvinaya,pi-tv-bu-vb-as1,,,
Sativinaya,pi-tv-bu-vb-as2,,,
Amūḷhavinaya,pi-tv-bu-vb-as3,,,
Paṭiññātakaraṇa,pi-tv-bu-vb-as4,,,
Yebhuyyasikā,pi-tv-bu-vb-as5,,,
Tassapāpiyasikā,pi-tv-bu-vb-as6,,,
Tiṇavatthāraka,pi-tv-bu-vb-as7,,,
Kathina,pi-tv-bu-vb-np1,,,
Udosita,pi-tv-bu-vb-np2,,,
Akālacīvara,pi-tv-bu-vb-np3,,,
Purāṇacīvara,pi-tv-bu-vb-np4,,,
Cīvarapaṭiggahana,pi-tv-bu-vb-np5,,,
Aññātakaviññatti,pi-tv-bu-vb-np6,,,
Tatuttari,pi-tv-bu-vb-np7,,,
Upakkhata,pi-tv-bu-vb-np8,,,
Dutiyaupakkhata,pi-tv-bu-vb-np9,,,
Rāja,pi-tv-bu-vb-np10,,,
Kosiya,pi-tv-bu-vb-np11,,,
Suddhakāla,pi-tv-bu-vb-np12,,,
Dvebhāga,pi-tv-bu-vb-np13,,,
Chabbassa,pi-tv-bu-vb-np14,,,
Nisīdanasanthata,pi-tv-bu-vb-np15,,,
Eḷakaloma,pi-tv-bu-vb-np16,,,
Eḷakalomadhovāpana,pi-tv-bu-vb-np17,,,
Rūpiya,pi-tv-bu-vb-np18,,,
Rūpiyasaṁvohāra,pi-tv-bu-vb-np19,,,
Kayavikkaya,pi-tv-bu-vb-np20,,,
Patta,pi-tv-bu-vb-np21,,,
Ūnapañcabandhana,pi-tv-bu-vb-np22,,,
Bhesajja,pi-tv-bu-vb-np23,,,
Vassikasāṭika,pi-tv-bu-vb-np24,,,
Cīvaraacchindana,pi-tv-bu-vb-np25,,,
Suttaviññatti,pi-tv-bu-vb-np26,,,
Mahāpesakāra,pi-tv-bu-vb-np27,,,
Accekacīvara,pi-tv-bu-vb-np28,,,
Sāsaṅka,pi-tv-bu-vb-np29,,,
Pariṇata,pi-tv-bu-vb-np30,,,
Musāvāda,pi-tv-bu-vb-pc1,,,
Omasavāda,pi-tv-bu-vb-pc2,,,
Pesuñña,pi-tv-bu-vb-pc3,,,
Padasodhamma,pi-tv-bu-vb-pc4,,,
Anupasampannasahaseyya,pi-tv-bu-vb-pc5,,,
Mātugāmasahaseyya,pi-tv-bu-vb-pc6,,,
Dhammadesanā,pi-tv-bu-vb-pc7,,,
Bhūtārocana,pi-tv-bu-vb-pc8,,,
Duṭṭhullārocana,pi-tv-bu-vb-pc9,,,
Pathavīkhaṇana,pi-tv-bu-vb-pc10,,,
Bhūtagāma,pi-tv-bu-vb-pc11,,,
Aññavādaka,pi-tv-bu-vb-pc12,,,
Ujjhāpanaka,pi-tv-bu-vb-pc13,,,
Mañcasanthārana,pi-tv-bu-vb-pc14,,,
Seyyasanthārana,pi-tv-bu-vb-pc15,,,
Anupakhajja,pi-tv-bu-vb-pc16,,,
Nikkaḍḍhana,pi-tv-bu-vb-pc17,,,
Vehāsakuṭi,pi-tv-bu-vb-pc18,,,
Mahallakavihāra,pi-tv-bu-vb-pc19,,,
Sappāṇaka,pi-tv-bu-vb-pc20,,,
Ovāda,pi-tv-bu-vb-pc21,,,
Atthaṅgata,pi-tv-bu-vb-pc22,,,
Bhikkhunupassaya,pi-tv-bu-vb-pc23,,,
Āmisa,pi-tv-bu-vb-pc24,,,
Cīvaradāna,pi-tv-bu-vb-pc25,,,
Cīvarasibbana,pi-tv-bu-vb-pc26,,,
Saṃvidhāna,pi-tv-bu-vb-pc27,,,
Nāvābhiruhana,pi-tv-bu-vb-pc28,,,
Paripācita,pi-tv-bu-vb-pc29,,,
Rahonisajja,pi-tv-bu-vb-pc30,,,
Āvasathapiṇḍa,pi-tv-bu-vb-pc31,,,
Gaṇabhojana,pi-tv-bu-vb-pc32,,,
Paramparabhojana,pi-tv-bu-vb-pc33,,,
Dvittipattapūrapaṭiggahaṇa,pi-tv-bu-vb-pc34,,,
Pavāraṇā,pi-tv-bu-vb-pc35,,,
Dutiyapavāraṇā,pi-tv-bu-vb-pc36,,,
Vikālabhojana,pi-tv-bu-vb-pc37,,,
Sannidhikāraka,pi-tv-bu-vb-pc38,,,
Paṇītabhojana,pi-tv-bu-vb-pc39,,,
Dantapona,pi-tv-bu-vb-pc40,,,
Acelaka,pi-tv-bu-vb-pc41,,,
Uyyojana,pi-tv-bu-vb-pc42,,,
Sabhojana,pi-tv-bu-vb-pc43,,,
Rahopaṭicchanna,pi-tv-bu-vb-pc44,,,
Rahonisajja,pi-tv-bu-vb-pc45,,,
Cāritta,pi-tv-bu-vb-pc46,,,
Catumāsappaccayapavāraṇā,pi-tv-bu-vb-pc47,,,
Uyyuttasenā,pi-tv-bu-vb-pc48,,,
Senāvāsa,pi-tv-bu-vb-pc49,,,
Uyyodhika,pi-tv-bu-vb-pc50,,,
Surāpāna,pi-tv-bu-vb-pc51,,,
Aṅgulipatodaka,pi-tv-bu-vb-pc52,,,
Hasadhamma,pi-tv-bu-vb-pc53,,,
Anādariya,pi-tv-bu-vb-pc54,,,
Bhiṃsāpana,pi-tv-bu-vb-pc55,,,
Jotika,pi-tv-bu-vb-pc56,,,
Nahāna,pi-tv-bu-vb-pc57,,,
Dubbaṇṇakaraṇa,pi-tv-bu-vb-pc58,,,
Vikappana,pi-tv-bu-vb-pc59,,,
Cīvaraapanidhāna,pi-tv-bu-vb-pc60,,,
Sañcicca,pi-tv-bu-vb-pc61,,,
Sappāṇaka,pi-tv-bu-vb-pc62,,,
Ukkoṭana,pi-tv-bu-vb-pc63,,,
Duṭṭhulla,pi-tv-bu-vb-pc64,,,
Ūnavīsativassa,pi-tv-bu-vb-pc65,,,
Theyyasattha,pi-tv-bu-vb-pc66,,,
Saṃvidhāna,pi-tv-bu-vb-pc67,,,
Antarāyika,pi-tv-bu-vb-pc68,,,
Ukkhittasambhoga,pi-tv-bu-vb-pc69,,,
Samaṇuddesaantarāyika,pi-tv-bu-vb-pc70,,,
Sahadhammika,pi-tv-bu-vb-pc71,,,
Vilekhana,pi-tv-bu-vb-pc72,,,
Mohana,pi-tv-bu-vb-pc73,,,
Pahāra,pi-tv-bu-vb-pc74,,,
Talasattika,pi-tv-bu-vb-pc75,,,
Amūlaka,pi-tv-bu-vb-pc76,,,
Sañcicca,pi-tv-bu-vb-pc77,,,
Upassuti,pi-tv-bu-vb-pc78,,,
Kammapaṭibāhana,pi-tv-bu-vb-pc79,,,
Chandaṃadatvāgamana,pi-tv-bu-vb-pc80,,,
Dubbala,pi-tv-bu-vb-pc81,,,
Pariṇāmana,pi-tv-bu-vb-pc82,,,
Antepura,pi-tv-bu-vb-pc83,,,
Ratana,pi-tv-bu-vb-pc84,,,
Vikālagāmappavisana,pi-tv-bu-vb-pc85,,,
Sūcighara,pi-tv-bu-vb-pc86,,,
Mañcapīṭha,pi-tv-bu-vb-pc87,,,
Tūlonaddha,pi-tv-bu-vb-pc88,,,
Nisīdana,pi-tv-bu-vb-pc89,,,
Kaṇḍuppaṭicchādi,pi-tv-bu-vb-pc90,,,
Vassikasāṭikā,pi-tv-bu-vb-pc91,,,
Sugatacīvara,pi-tv-bu-vb-pc92,,,
Paṭhamapāṭidesanīya,pi-tv-bu-vb-pd1,,,
Dutiyapāṭidesanīya,pi-tv-bu-vb-pd2,,,
Tatiyapāṭidesanīya,pi-tv-bu-vb-pd3,,,
Catutthapāṭidesanīya,pi-tv-bu-vb-pd4,,,
Parimaṇḍala,pi-tv-bu-vb-sk1,,,
Dutiyaparimaṇḍala,pi-tv-bu-vb-sk2,,,
Suppaṭicchanna,pi-tv-bu-vb-sk3,,,
Dutiyasuppaṭicchanna,pi-tv-bu-vb-sk4,,,
Susaṃvuta,pi-tv-bu-vb-sk5,,,
Dutiyasusaṃvuta,pi-tv-bu-vb-sk6,,,
Okkhittacakkhu,pi-tv-bu-vb-sk7,,,
Dutiyaokkhittacakkhu,pi-tv-bu-vb-sk8,,,
Ukkhittaka,pi-tv-bu-vb-sk9,,,
Dutiyaukkhittaka,pi-tv-bu-vb-sk10,,,
Ujjagghika,pi-tv-bu-vb-sk11,,,
Dutiyaujjagghika,pi-tv-bu-vb-sk12,,,
Appasadda,pi-tv-bu-vb-sk13,,,
Dutiyaappasadda,pi-tv-bu-vb-sk14,,,
Kāyappacālaka,pi-tv-bu-vb-sk15,,,
Dutiyakāyappacālaka,pi-tv-bu-vb-sk16,,,
Bāhuppacālaka,pi-tv-bu-vb-sk17,,,
Dutiyabāhuppacālaka,pi-tv-bu-vb-sk18,,,
Sīsappacālaka,pi-tv-bu-vb-sk19,,,
Dutiyasīsappacālaka,pi-tv-bu-vb-sk20,,,
Khambhakata,pi-tv-bu-vb-sk21,,,
Dutiyakhambhakata,pi-tv-bu-vb-sk22,,,
Oguṇṭhita,pi-tv-bu-vb-sk23,,,
Dutiyaoguṇṭhita,pi-tv-bu-vb-sk24,,,
Ukkuṭika,pi-tv-bu-vb-sk25,,,
Pallatthika,pi-tv-bu-vb-sk26,,,
Sakkaccapaṭiggahaṇa,pi-tv-bu-vb-sk27,,,
Pattasaññīpaṭiggahaṇa,pi-tv-bu-vb-sk28,,,
Samasūpakapaṭiggahaṇa,pi-tv-bu-vb-sk29,,,
Samatittika,pi-tv-bu-vb-sk30,,,
Sakkacca,pi-tv-bu-vb-sk31,,,
Pattasaññī,pi-tv-bu-vb-sk32,,,
Sapadāna,pi-tv-bu-vb-sk33,,,
Samasūpaka,pi-tv-bu-vb-sk34,,,
Thūpakata,pi-tv-bu-vb-sk35,,,
Odanappaṭicchādana,pi-tv-bu-vb-sk36,,,
Sūpodanaviññatti,pi-tv-bu-vb-sk37,,,
Ujjhānasaññī,pi-tv-bu-vb-sk38,,,
Nātimahanta,pi-tv-bu-vb-sk39,,,
Parimaṇḍala,pi-tv-bu-vb-sk40,,,
Anāhaṭa,pi-tv-bu-vb-sk41,,,
Sabbahattha,pi-tv-bu-vb-sk42,,,
Sakabaḷa,pi-tv-bu-vb-sk43,,,
Piṇḍukkhepaka,pi-tv-bu-vb-sk44,,,
Kabaḷāvacchedaka,pi-tv-bu-vb-sk45,,,
Avagaṇḍakāraka,pi-tv-bu-vb-sk46,,,
Hatthaniddhunaka,pi-tv-bu-vb-sk47,,,
Sitthāvakāraka,pi-tv-bu-vb-sk48,,,
Jivhānicchāraka,pi-tv-bu-vb-sk49,,,
Capucapukāraka,pi-tv-bu-vb-sk50,,,
Surusurukāraka,pi-tv-bu-vb-sk51,,,
Hatthanillehaka,pi-tv-bu-vb-sk52,,,
Pattanillehaka,pi-tv-bu-vb-sk53,,,
